Date;Kejernihan Langit;Suhu;Kecepatan Angin
04/10/2023;0.48;19.79;0.52
05/10/2023;0.32;20.22;0.52
06/10/2023;0.51;20.56;0.34
07/10/2023;0.45;20.55;0.51
08/10/2023;0.42;21.2;0.57
09/10/2023;0.49;20.09;0.94
10/10/2023;0.43;20.18;0.69
11/10/2023;0.4;20.26;0.65
12/10/2023;0.43;20.38;0.47
13/10/2023;0.48;20.65;0.57
14/10/2023;0.36;20.82;0.76
15/10/2023;0.37;19.98;1.04
16/10/2023;0.42;20.31;0.6
17/10/2023;0.3;19.52;0.99
18/10/2023;0.47;20.01;0.65
19/10/2023;0.36;20.79;0.79
20/10/2023;0.38;19.98;0.9
21/10/2023;0.41;19.88;0.59
22/10/2023;0.34;19.6;0.57
23/10/2023;0.47;20.65;0.48
24/10/2023;0.43;20.85;0.7
25/10/2023;0.45;20.46;0.47
26/10/2023;0.45;20.49;0.41
27/10/2023;0.41;19.59;0.47
28/10/2023;0.41;20.09;0.61
29/10/2023;0.45;19.75;0.91
30/10/2023;0.47;20.04;0.43
31/10/2023;0.39;21.08;0.62
01/11/2023;0.39;20.36;0.62
02/11/2023;0.41;20.8;0.39
03/11/2023;0.48;20.33;0.44
04/11/2023;0.45;20.75;0.52
05/11/2023;0.47;20.83;0.77
06/11/2023;0.47;19.86;0.59
07/11/2023;0.48;20.19;0.43
08/11/2023;0.44;20.25;0.81
09/11/2023;0.35;19.95;0.55
10/11/2023;0.46;20.05;0.41
11/11/2023;0.44;20.16;0.57
12/11/2023;0.47;20.37;0.68
13/11/2023;0.34;20.3;0.69
14/11/2023;0.38;20.9;0.56
15/11/2023;0.45;20.3;0.67
16/11/2023;0.45;19.87;0.67
17/11/2023;0.41;20.59;0.45
18/11/2023;0.48;20.43;0.9
19/11/2023;0.51;20.15;0.91
20/11/2023;0.41;20.49;0.82
21/11/2023;0.33;19.62;0.55
22/11/2023;0.38;20;0.67
23/11/2023;0.4;19.4;0.59
24/11/2023;0.44;19.88;0.69
25/11/2023;0.39;19.16;0.52
26/11/2023;0.27;19.12;0.79
27/11/2023;0.51;19.41;0.94
